date,T2M,RH2M,U2M,V2M,PS,site
2025-04-14,303.5991,30.323395,-1.8361965,-0.045930028,98279.26,location_278671
2025-04-15,303.72632,30.486494,-1.7844523,-0.024342595,98276.695,location_278671
2025-04-16,304.63528,29.551825,-1.2051026,0.06388388,98153.53,location_278671
2025-04-17,307.00552,24.564713,-0.55723363,1.1252109,97877.22,location_278671
2025-04-18,307.8651,20.732376,-1.1416899,-0.122535236,97775.99,location_278671
2025-04-19,307.57053,18.327805,-0.19613104,0.49724427,97830.07,location_278671
2025-04-20,307.1191,15.064,2.6523027,0.70482856,97909.57,location_278671
2025-04-21,306.84024,11.765687,2.2451243,-0.41846704,98171.98,location_278671
2025-04-22,306.73685,8.434022,2.527013,-0.9009003,98184.04,location_278671
2025-04-23,306.14905,6.3493543,2.5828469,-0.92257005,97949.9,location_278671
2025-04-24,306.7674,7.7810073,2.5987346,-0.29300573,97844.91,location_278671
2025-04-25,308.48093,9.754113,2.009522,-0.5433418,97855.72,location_278671
2025-04-26,308.0481,12.110374,1.0870837,-0.3368733,97844.625,location_278671
2025-04-27,304.69388,17.201452,0.62420565,-0.73783296,98136.84,location_278671
2025-04-28,306.24347,14.117259,-1.7214941,1.0003542,97897.195,location_278671
2025-04-29,306.50204,18.493748,-2.072649,-0.3001387,97857.29,location_278671
2025-04-30,305.94684,25.534536,-2.0921195,-0.6788989,98075.74,location_278671
2025-05-01,306.38962,29.624199,-2.7095187,-0.7315135,98164.69,location_278671
2025-05-02,305.9283,30.897955,-1.0803914,-1.2437737,98145.91,location_278671
2025-05-03,306.9414,29.19177,-1.5554751,-0.54706866,97964.914,location_278671
2025-05-04,306.92422,26.784472,-0.22523005,-0.4547193,97893.43,location_278671
2025-05-05,307.3461,27.619097,-0.3996688,1.235526,97934.12,location_278671
2025-05-06,304.74323,37.11552,1.1540061,1.1912807,97972.336,location_278671
2025-05-07,304.53476,41.750523,1.7817165,2.8440065,97909.94,location_278671
2025-05-08,304.4365,39.468365,1.7733016,3.0358496,98062.625,location_278671
2025-05-09,304.66498,39.648746,2.1964028,2.173177,98162.57,location_278671
2025-05-10,307.47916,35.13906,2.205781,0.72317004,98036.65,location_278671
2025-05-11,307.03226,42.24776,1.6764631,0.16032343,97855.4,location_278671
2025-05-12,307.57645,29.066504,0.67317915,-0.8583142,97802.31,location_278671
2025-05-13,308.4468,29.656044,1.041366,-1.663895,97832.44,location_278671
2025-05-14,309.8466,23.323616,1.1075612,-0.40356097,97839.88,location_278671
2025-05-15,310.66623,21.914223,1.9273537,-0.04079936,97774.06,location_278671
2025-05-16,310.09,19.669983,0.5461882,0.03316738,97709.04,location_278671
2025-05-17,311.32556,20.573349,0.83837634,-0.30763322,97716.53,location_278671
2025-05-18,311.6523,21.66419,0.45744172,0.029598216,97660.34,location_278671
2025-05-19,310.97458,23.539633,-1.0840539,-0.5503586,97638.85,location_278671
2025-05-20,311.2262,29.06746,2.328469,0.19294538,97472.79,location_278671
2025-05-21,311.16824,29.871078,1.1035749,0.0012479523,97529.96,location_278671
2025-05-22,308.9999,34.884502,0.11979005,-0.5233792,97571.26,location_278671
2025-05-23,308.76938,35.604805,-2.034664,-0.7418739,97412.125,location_278671
2025-05-24,309.55698,35.48009,-3.0453854,1.38262,97471.1,location_278671
2025-05-25,308.37097,39.67747,-2.8438084,0.42922685,97703.23,location_278671
2025-05-26,308.1413,36.644745,-1.8462969,-1.0522528,97499.625,location_278671
2025-05-27,309.233,35.947742,-1.8768727,-0.77306324,97303.35,location_278671
2025-05-28,309.5763,36.83726,-0.85052633,-1.5707248,97166.43,location_278671
2025-05-29,310.03494,30.456871,-0.20395249,-1.7393074,97017.21,location_278671
2025-05-30,310.25076,30.519302,2.2029727,-0.57668954,97087.57,location_278671
2025-05-31,309.2459,28.820595,4.3490148,-0.11265943,97373.6,location_278671
2025-06-01,308.2215,32.05087,5.0248475,0.24676162,97438.72,location_278671
2025-01-18,294.80795,55.19391,-1.3903836,-0.38886786,100892.57,location_301387
